trial number,STL,LL,Heap
1,11968,10971,6981
2,11968,10971,8976
3,11968,10970,9974
4,11968,10971,8976
5,11968,11968,9974
6,11968,9973,8975
7,11968,10971,8976
8,11968,11968,9974
9,11968,9973,8976
10,11968,10971,10970
11,11968,11968,8976
12,11968,9974,8976
13,11968,10970,8976
14,11968,11968,8976
15,11968,10971,8976
16,11968,9973,8976
17,11968,10972,8976
18,11968,9972,8976
19,11968,11968,11968
20,11969,10971,8976
21,11967,10971,8976
22,11968,9973,8976
23,11968,11968,8976
24,11968,9973,8976
25,11968,13963,8976
26,11968,10971,8976
27,11968,9976,8976
28,11968,11965,8976
29,11968,10971,8976
30,11968,9973,8976
31,11968,10971,8976
32,11968,11968,8977
33,11968,9973,8975
34,11968,9973,8976
35,11968,11971,8976
36,11968,9971,8976
37,11969,6982,8976
38,11967,9972,14960
39,11968,10971,8976
40,12966,10971,8976
41,11968,10970,8976
42,11968,9973,8976
43,11968,10971,8976
44,11968,9974,8976
45,11968,9973,8976
46,11968,9973,9974
47,11968,9974,8976
48,11968,9973,8976
49,12966,9973,8976
50,11967,9974,8976
51,11968,9973,4987
52,11968,9973,3989
53,11968,9973,8976
54,11968,9974,8976
55,11969,9973,8976
56,11967,10971,8976
57,11968,11993,8976
58,11968,10971,8976
59,11968,9973,8976
60,11968,9973,8976
61,11968,9974,8976
62,11968,9973,8976
63,11968,11968,8976
64,11969,9974,8976
65,11967,11967,8976
66,11969,10971,8977
67,11967,9974,9972
68,11968,10970,8976
69,11968,10972,8976
70,11969,9972,8976
71,11967,9973,8976
72,11969,10971,8976
73,8976,9973,8976
74,11967,9974,8976
75,11969,9973,19947
76,11968,9973,8976
77,11967,9974,8976
78,11969,9973,8976
79,11967,9973,8976
80,11969,9974,8976
81,11968,9973,8976
82,11968,9973,8976
83,11968,9974,8977
84,11968,9973,8975
85,11967,9973,8976
86,11969,9973,8976
87,11968,9974,8976
88,11968,10971,8976
89,11967,6981,8976
90,11969,10971,8976
91,11968,9973,8976
92,11968,9973,8976
93,11968,9974,8976
94,11968,9973,8976
95,11968,9974,8976
96,11968,9973,9973
97,11968,10971,8976
98,11968,9973,8976
99,11968,9974,8976
100,11968,9972,8976
101,11968,9974,8976
102,11968,9973,8977
103,11968,9974,8976
104,11968,9973,8976
105,11968,9973,8975
106,11968,10971,8976
107,11968,9973,8976
108,11967,9974,8976
109,11969,10971,8977
110,11968,9973,8976
111,11968,9973,8976
112,11968,9974,8975
113,11968,10970,8977
114,11968,10971,8975
115,11968,9973,8977
116,11968,10971,8976
117,11968,11968,8976
118,11968,9973,8976
119,11968,9973,8976
120,11968,9974,8976
121,11968,9973,8975
122,11969,9973,8978
123,11967,9974,8975
124,11968,9973,8976
125,11968,9973,8976
126,11968,9974,8976
127,11968,9973,8976
128,11968,9974,8976
129,11968,9973,8976
130,11968,9973,8976
131,11968,9973,8976
132,11968,9974,8976
133,11968,9973,8976
134,11968,9974,8976
135,11968,9973,8976
136,11969,9973,8976
137,11967,9973,8976
138,11969,9975,8976
139,11967,9972,8976
140,11968,10972,8976
141,11968,6980,8977
142,11968,10972,8975
143,11969,7979,8976
144,11967,6980,8976
145,11968,8976,8976
146,12966,9973,8976
147,13963,6982,8976
148,11968,7978,8976
149,11968,9973,29920
150,11967,9974,8976
151,11969,6982,8976
152,11967,5984,8976
153,11968,5983,8976
154,11969,7980,8976
155,18949,6981,8976
156,13971,6981,9973
157,12961,5984,8976
158,11966,8976,8976
159,11966,5984,8976
160,11968,9973,8976
161,11968,5985,8976
162,11968,9972,8976
163,6981,9974,8976
164,11968,10970,8977
165,11968,9974,8976
166,11968,9973,8975
167,11968,9973,9974
168,11968,9974,8976
169,11968,9973,8976
170,11968,9974,8976
171,11968,10970,8976
172,11968,10971,8976
173,11968,9973,8976
174,11968,9974,8976
175,11968,9973,8976
176,11969,9973,8976
177,11967,9973,8976
178,11968,9974,8976
179,8976,9974,8976
180,11968,9973,8976
181,11969,9973,8976
182,11968,9973,9974
183,11967,10971,9973
184,11968,9973,8976
185,11968,8977,8976
186,11969,5984,8977
187,11968,10971,9972
188,11967,10970,8976
189,8976,10970,8976
190,11969,9974,8976
191,11968,15957,8976
192,11968,9973,8976
193,7978,9973,8976
194,10971,9974,8976
195,8976,10971,8976
196,6981,5984,9974
197,9974,5984,8976
198,12965,9974,8975
199,12966,6981,8976
200,10971,6981,8977
201,8976,9973,8975
202,12965,5985,8976
203,23937,7978,8976
204,10970,5983,8976
205,8976,10972,8976
206,11968,9973,8977
207,13963,9973,8976
208,14960,10972,8976
209,12966,9972,8975
210,11966,9974,8976
211,11969,10971,8976
212,11967,9974,8977
213,13966,9972,8976
214,11965,9974,8975
215,11968,9973,9974
216,7979,9973,8976
217,12965,9974,8976
218,9973,9973,8976
219,8976,9973,8976
220,12965,10971,8976
221,10971,11968,8976
222,11968,9973,8976
223,11968,9974,8978
224,11968,9973,9972
225,6982,7979,9973
226,8976,7979,8976
227,10970,7978,8976
228,13967,6982,8976
229,11965,10973,8977
230,11967,10968,8975
231,7979,9973,8976
232,11967,10971,8976
233,11969,6981,8976
234,11968,10971,8976
235,10970,5984,8975
236,12966,5984,8976
237,12965,9973,8977
238,12965,9973,8976
239,10971,7979,8976
240,10971,5984,8976
241,13963,7979,8976
242,11968,8976,8975
243,13963,6981,8977
244,11967,6981,8976
245,11968,8976,8976
246,11969,6986,8976
247,10972,8972,8976
248,11966,4986,8976
249,11968,10972,8975
250,7979,10970,8977
251,10970,9973,8976
252,12966,9973,8976
253,8975,9974,8976
254,10971,10970,8976
255,8976,9974,8976
256,8976,9973,8976
257,12965,9973,8976
258,11969,9974,8976
259,12966,5984,8976
260,12965,9973,8976
261,12965,9973,8976
262,9974,9973,8975
263,11968,9974,8977
264,17951,9973,8976
265,14961,11973,8976
266,14960,8990,8976
267,12966,9973,8976
268,12970,9974,8976
269,12959,9973,8977
270,11969,11970,8975
271,13962,10969,8976
272,12967,7979,8976
273,12996,9973,9973
274,10970,9973,8976
275,12966,9974,8976
276,12966,9973,9975
277,11967,6982,8975
278,11968,10970,10972
279,12966,5984,8974
280,11967,10970,8977
281,12966,9974,9972
282,11968,9974,8977
283,12965,7978,8976
284,11968,7979,8975
285,12966,8976,8976
286,11967,6981,8977
287,11969,5984,8976
288,11970,5984,9973
289,11965,8976,8976
290,12966,5985,10971
291,11968,7995,11969
292,11968,9957,9974
293,11968,8975,8975
294,11968,9973,10972
295,11968,9974,8974
296,12965,11972,8976
297,11970,10967,10976
298,11966,10482,53851
299,11971,11973,8976
300,11965,11963,8976
301,11968,10971,8975
302,11968,11968,8976
303,11968,10971,8977
304,11968,10970,9973
305,11968,10970,9973
306,11969,9974,8976
307,11967,10971,8976
308,11968,11969,8976
309,11968,10969,8976
310,11968,10971,8976
311,11972,9973,8976
312,11965,10971,8976
313,12965,8976,8976
314,11968,6981,8977
315,11968,6982,8976
316,13963,9973,8975
317,11968,10970,8976
318,11968,9974,8976
319,9973,9973,8976
320,12966,6981,8976
321,10970,11969,8976
322,11968,5983,8976
323,11969,5984,8977
324,8977,9975,8976
325,10971,9972,8976
326,8974,7979,8976
327,9973,5983,8976
328,12965,7979,8975
329,9973,8977,9983
330,11968,5983,6973
331,7979,5984,8976
332,11968,5984,6981
333,11968,6982,4986
334,11968,5984,4988
335,9974,7979,8975
336,11967,6981,8976
337,11968,9973,9973
338,11969,9973,8976
339,11967,9974,8977
340,11969,9973,8976
341,11968,9974,8976
342,11968,9973,8975
343,11967,9973,8976
344,11969,10971,8976
345,11969,9973,8976
346,7977,9974,8976
347,11968,9977,9003
348,11968,9969,8976
349,11968,9974,9002
350,11968,9975,8977
351,11968,9971,8975
352,11968,9974,8976
353,11968,5984,8976
354,10971,10970,8976
355,10971,9974,8977
356,11968,11968,8975
357,11968,9973,8976
358,11969,10977,8976
359,6980,9968,8976
360,11969,7978,8976
361,6981,8976,8976
362,12965,9973,8976
363,11968,9973,8021
364,6982,10971,10929
365,6981,9974,8975
366,12965,7978,8976
367,6982,10971,8977
368,7978,10971,8976
369,11968,5984,8976
370,11968,9973,8976
371,6981,10970,8976
372,11968,9974,8976
373,11968,6981,8975
374,11968,5986,8977
375,11968,8974,8976
376,11969,6982,8976
377,11967,5984,8976
378,11969,5984,8976
379,11967,8975,8976
380,11968,5985,8976
381,11969,6981,8976
382,11968,6981,8976
383,11969,10971,8976
384,11966,9973,8976
